Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.728953448758047e7
TX_W,conventional_steam_coal_1,1,1,4.799008526875644e7
TX_W,conventional_steam_coal_2,1,2,5.865883036147829e7
TX_W,conventional_steam_coal_3,1,3,7.433250151875003e7
TX_FW,conventional_steam_coal_4,1,4,9.347025420368436e7
TX_FW,conventional_steam_coal_5,1,5,9.99973366035891e7
TX_FW,conventional_steam_coal_6,1,6,1.0977334225537298e7
TX_FW,conventional_steam_coal_7,1,7,1.0556043344751474e7
TX_FW,conventional_steam_coal_8,1,8,1.2884434328892213e8
TX_FW,conventional_steam_coal_9,1,9,1.2156015614239737e8
TX_NC,conventional_steam_coal_10,1,10,3.0621659460243497e7
TX_W,conventional_steam_coal_11,1,11,2.8106304344777796e7
TX_FW,conventional_steam_coal_12,1,12,1.952358112465169e8
TX,natural_gas_fired_combined_cycle,1,1,8.130687341549645e7
TX,natural_gas_fired_combined_cycle_1,1,2,3.172997884123027e8
TX,natural_gas_fired_combined_cycle_2,1,3,1.0928273397154913e9
TX,natural_gas_fired_combined_cycle_3,1,4,1.2796183415153718e8
TX,natural_gas_fired_combined_cycle_4,1,5,4.996783890953424e7
TX,natural_gas_fired_combined_cycle_5,1,6,8.985207580828686e8
TX,natural_gas_fired_combined_cycle_6,1,7,1.793183371054758e8
TX,natural_gas_fired_combined_cycle_7,1,8,2.0566855943857273e8
TX,natural_gas_fired_combined_cycle_8,1,9,1.97555135285259e9
TX,natural_gas_fired_combined_cycle_9,1,10,1.040107808300439e8
TX,natural_gas_fired_combined_cycle_10,1,11,2.732498698282228e7
TX,natural_gas_fired_combined_cycle_11,1,12,1.6592561789447656e8
TX,natural_gas_fired_combined_cycle_12,1,13,1.6122808166077197e8
TX,natural_gas_fired_combined_cycle_13,1,14,1.6177716532135553e9
TX,natural_gas_fired_combined_cycle_14,1,15,1.3609809434569228e8
TX,natural_gas_fired_combustion_turbine,1,16,4.260032176050839e7
TX,natural_gas_fired_combustion_turbine_1,1,17,1.4399031402869383e8
TX,natural_gas_fired_combustion_turbine_2,1,18,3.55098697142108e6
TX,natural_gas_fired_combustion_turbine_3,1,19,9.633393284572765e6
TX,natural_gas_fired_combustion_turbine_4,1,20,7.149205394517748e6
TX,natural_gas_fired_combustion_turbine_5,1,21,541988.7684917127
TX,natural_gas_fired_combustion_turbine_6,1,22,2.4020669201186955e7
TX,natural_gas_fired_combustion_turbine_7,1,23,6.528685033234387e7
TX,natural_gas_fired_combustion_turbine_8,1,24,1.1436894610526104e8
TX,natural_gas_fired_combustion_turbine_9,1,25,4.699422961854822e7
TX,natural_gas_fired_combustion_turbine_10,1,26,3.497775450490546e7
TX,natural_gas_fired_combustion_turbine_11,1,27,1.036237436986686e7
TX,natural_gas_fired_combustion_turbine_12,1,28,3.643276873384387e7
TX,natural_gas_fired_combustion_turbine_13,1,29,2.4289781078935317e6
TX,natural_gas_fired_combustion_turbine_14,1,30,3.1302349840799645e7
TX,natural_gas_fired_combustion_turbine_15,1,31,4.1334282105833804e6
TX,natural_gas_steam_turbine,1,32,1.039656848491835e8
TX,natural_gas_steam_turbine_1,1,33,5.902582064611785e7
TX,natural_gas_steam_turbine_2,1,34,1.1380496794694124e6
TX,natural_gas_steam_turbine_3,1,35,1.7630319278961608e8
TX,natural_gas_steam_turbine_4,1,36,1.095883110242418e7
TX,natural_gas_steam_turbine_5,1,37,1.254459796535988e7
TX,natural_gas_steam_turbine_6,1,38,3.5764522393798476e8
TX,natural_gas_steam_turbine_7,1,39,1.1903312921642396e8
TX,natural_gas_steam_turbine_8,1,40,1.1020650700764462e8
TX,natural_gas_steam_turbine_9,1,41,6.927479946690813e7
TX,natural_gas_steam_turbine_10,1,42,2.4092447074302718e7
TX,natural_gas_steam_turbine_11,1,43,3.3417176347145986e7
TX,natural_gas_steam_turbine_12,1,44,4.626782397194516e6
TX,natural_gas_steam_turbine_13,1,45,2.1088338607934576e8
TX,natural_gas_steam_turbine_14,1,46,5.8500451289677985e7
TX,natural_gas_steam_turbine_15,1,47,2.3871123183371957e7
TX,natural_gas_steam_turbine_16,1,48,1.4709159404920092e7
TX,natural_gas_steam_turbine_17,1,49,8.993634250974081e6
TX,nuclear,1,1,6.66705308154743e8
TX,nuclear_1,1,2,6.508313722462969e8
TX,onshore_wind_turbine,1,1,2.3585809083652005e9
TX,onshore_wind_turbine_exp,1,2,0.0
TX_W,onshore_wind_turbine_ppa_1,1,2,5.377671487294442e7
TX_FW,onshore_wind_turbine_ppa_2,1,2,0.0
TX_NC,onshore_wind_turbine_ppa_3,1,2,0.0
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,6.275390819999993e8
TX,solar_photovoltaic_exp,1,2,8.105133278147396e8
TX_W,solar_photovoltaic_ppa_1,1,2,0.0
TX_FW,solar_photovoltaic_ppa_2,1,2,0.0
TX_NC,solar_photovoltaic_ppa_3,1,2,0.0
TX,Battery,1,1,8.155484604771113e7
TX,Battery_exp,1,2,0.0
TX_W,Battery_ppa_1,1,1,0.0
TX_FW,Battery_ppa_2,1,2,0.0
TX_NC,Battery_ppa_3,1,3,0.0
TX_W,Flexible_demand_1,1,3,5.445536123365671e7
TX_FW,Flexible_demand_2,1,3,5.5035536696324386e7
TX_NC,Flexible_demand_3,1,3,5.503808175139418e7
TX_W,Coal_retrofit_1,1,1,0.0
TX_W,Coal_retrofit_2,1,2,0.0
TX_W,Coal_retrofit_3,1,3,2.469291446037133e7
TX_FW,Coal_retrofit_4,1,4,0.0
TX_FW,Coal_retrofit_5,1,5,0.0
TX_FW,Coal_retrofit_6,1,6,0.0
TX_FW,Coal_retrofit_7,1,7,0.0
TX_FW,Coal_retrofit_8,1,8,0.0
TX_FW,Coal_retrofit_9,1,9,0.0
TX_NC,Coal_retrofit_10,1,10,0.0
TX_W,Coal_retrofit_11,1,11,0.0
TX_FW,Coal_retrofit_12,1,12,0.0
